Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,snapshot_date
14,James Harden,36,CLE,PG,12,12,401,76,156,0.487,37,82,0.451,39,74,0.527,0.606,53,66,0.803,9,51,60,94,6,6,39,24,242,0,,2026-03-13
15,Brandon Ingram,28,TOR,SF,63,63,2145,504,1080,0.467,110,301,0.365,394,779,0.506,0.518,237,288,0.823,51,308,359,241,51,47,157,123,1355,0,AS,2026-03-13
16,Jalen Johnson,24,ATL,SF,59,59,2079,499,1009,0.495,94,268,0.351,405,741,0.547,0.541,262,335,0.782,85,527,612,470,79,29,197,128,1354,11,AS,2026-03-13
17,Desmond Bane,27,ORL,SG,65,65,2228,480,980,0.49,132,339,0.389,348,641,0.543,0.557,248,269,0.922,80,191,271,276,67,29,130,203,1340,0,,2026-03-13
18,Pascal Siakam,31,IND,PF,55,55,1844,494,1020,0.484,96,265,0.362,398,755,0.527,0.531,234,343,0.682,82,285,367,213,61,23,120,132,1318,0,AS,2026-03-13
19,Trey Murphy III,25,NOP,SF,58,58,2052,445,935,0.476,192,494,0.389,253,441,0.574,0.579,199,224,0.888,59,269,328,221,90,18,105,120,1281,0,,2026-03-13
20,Keyonte George,22,UTA,PG,54,54,1786,402,881,0.456,134,361,0.371,268,520,0.515,0.532,337,378,0.892,23,176,199,332,58,14,166,120,1275,0,,2026-03-13
21,Kon Knueppel,20,CHO,SF,66,65,2109,435,889,0.489,233,529,0.44,202,360,0.561,0.62,167,191,0.874,79,273,352,225,49,16,136,144,1270,0,,2026-03-13
22,Devin Booker,29,PHO,SG,50,50,1669,414,919,0.45,94,288,0.326,320,631,0.507,0.502,342,392,0.872,40,161,201,304,45,14,160,129,1264,0,AS,2026-03-13
23,Karl-Anthony Towns,30,NYK,C,63,63,1969,429,871,0.493,100,270,0.37,329,601,0.547,0.55,305,357,0.854,190,557,747,184,54,36,157,224,1263,0,AS,2026-03-13
24,Nickeil Alexander-Walker,27,ATL,SG,63,56,2094,427,970,0.44,193,510,0.378,234,460,0.509,0.54,213,238,0.895,37,180,217,235,78,34,136,136,1260,0,,2026-03-13
25,Michael Porter Jr.,27,BRK,SF,52,52,1689,444,958,0.463,176,485,0.363,268,473,0.567,0.555,195,227,0.859,69,298,367,158,55,13,122,116,1259,0,,2026-03-13
26,Victor Wembanyama,22,SAS,C,51,42,1493,418,826,0.506,98,272,0.36,320,554,0.578,0.565,300,368,0.815,99,469,568,146,51,153,131,135,1234,1,AS,2026-03-13
27,Paolo Banchero,23,ORL,PF,55,55,1922,410,886,0.463,65,211,0.308,345,675,0.511,0.499,336,436,0.771,62,410,472,275,35,34,161,102,1221,2,,2026-03-13
28,Deni Avdija,25,POR,SF,50,50,1667,373,809,0.461,104,308,0.338,269,501,0.537,0.525,363,452,0.803,56,291,347,333,39,31,188,130,1213,3,AS,2026-03-13
29,DeMar DeRozan,36,SAC,PF,66,66,2093,425,863,0.492,42,130,0.323,383,733,0.523,0.517,321,371,0.865,29,172,201,256,74,21,76,130,1213,0,,2026-03-13
30,Scottie Barnes,24,TOR,PF,63,63,2161,462,926,0.499,58,194,0.299,404,732,0.552,0.53,203,243,0.835,128,367,495,336,87,97,167,177,1185,2,AS,2026-03-13
31,Bam Adebayo,28,MIA,C,59,59,1872,412,927,0.444,101,312,0.324,311,615,0.506,0.499,257,330,0.779,124,453,577,171,65,41,103,102,1182,0,,2026-03-13
32,Alperen Şengün,23,HOU,C,58,58,1938,461,916,0.503,29,104,0.279,432,812,0.532,0.519,218,318,0.686,175,344,519,351,72,62,193,186,1169,3,AS,2026-03-13
33,CJ McCollum,34,2TM,SG,61,45,1822,412,919,0.448,151,410,0.368,261,509,0.513,0.53,155,199,0.779,49,164,213,223,46,23,109,111,1130,0,,2026-03-13
33,CJ McCollum,34,WAS,SG,35,35,1082,240,529,0.454,96,244,0.393,144,285,0.505,0.544,82,102,0.804,23,101,124,126,24,9,58,73,658,0,,2026-03-13
33,CJ McCollum,34,ATL,PG,26,10,740,172,390,0.441,55,166,0.331,117,224,0.522,0.512,73,97,0.753,26,63,89,97,22,14,51,38,472,0,,2026-03-13
34,Lauri Markkanen,28,UTA,PF,42,42,1443,384,805,0.477,115,324,0.355,269,481,0.559,0.548,240,268,0.896,84,205,289,89,42,21,63,77,1123,0,,2026-03-13
35,Amen Thompson,23,HOU,PG,63,63,2330,430,827,0.52,21,100,0.21,409,727,0.563,0.533,234,306,0.765,178,300,478,332,95,38,157,136,1115,0,,2026-03-13
36,LaMelo Ball,24,CHO,PG,57,54,1579,390,977,0.399,202,555,0.364,188,422,0.445,0.503,122,135,0.904,49,226,275,408,64,12,160,150,1104,1,,2026-03-13
37,Norman Powell,32,MIA,SG,49,49,1470,367,776,0.473,139,356,0.39,228,420,0.543,0.563,230,278,0.827,18,160,178,126,59,11,100,105,1103,0,AS,2026-03-13
38,Derrick White,31,BOS,SG,63,63,2163,379,961,0.394,180,551,0.327,199,410,0.485,0.488,162,180,0.9,69,211,280,360,73,91,110,97,1100,0,,2026-03-13
39,De'Aaron Fox,28,SAS,PG,57,57,1798,413,840,0.492,111,321,0.346,302,519,0.582,0.558,152,203,0.749,32,179,211,362,69,14,132,131,1089,0,AS,2026-03-13
40,Miles Bridges,27,CHO,PF,62,62,1969,389,875,0.445,126,386,0.326,263,489,0.538,0.517,181,217,0.834,61,303,364,210,37,29,92,108,1085,0,,2026-03-13
41,Cooper Flagg,19,DAL,SF,54,54,1820,414,884,0.468,55,187,0.294,359,697,0.515,0.499,194,242,0.802,66,294,360,232,62,47,120,116,1077,0,,2026-03-13
42,Payton Pritchard,28,BOS,PG,64,49,2086,407,886,0.459,164,457,0.359,243,429,0.566,0.552,99,114,0.868,56,207,263,342,48,7,85,89,1077,0,,2026-03-13
43,Immanuel Quickley,26,TOR,PG,62,62,2017,372,827,0.45,164,436,0.376,208,391,0.532,0.549,165,201,0.821,34,225,259,378,77,5,97,130,1073,0,,2026-03-13
44,Zion Williamson,25,NOP,PF,50,43,1479,400,682,0.587,1,4,0.25,399,678,0.588,0.587,271,379,0.715,111,183,294,169,51,27,105,115,1072,0,,2026-03-13
45,Stephen Curry,37,GSW,PG,39,39,1222,348,744,0.468,175,448,0.391,173,296,0.584,0.585,190,204,0.931,16,122,138,189,44,16,111,74,1061,0,AS,2026-03-13
46,Ryan Rollins,23,MIL,PG,63,56,2033,399,859,0.464,152,374,0.406,247,485,0.509,0.553,97,125,0.776,48,247,295,350,95,26,167,171,1047,0,,2026-03-13
47,Dillon Brooks,30,PHO,SF,50,50,1530,383,871,0.44,117,341,0.343,266,530,0.502,0.507,161,188,0.856,39,144,183,88,52,8,89,166,1044,0,,2026-03-13
48,Saddiq Bey,26,NOP,SF,60,52,1851,355,786,0.452,117,338,0.346,238,448,0.531,0.526,213,254,0.839,101,244,345,151,55,5,54,71,1040,0,,2026-03-13
49,Matas Buzelis,21,CHI,PF,65,65,1874,367,781,0.47,143,392,0.365,224,389,0.576,0.561,157,201,0.781,64,294,358,137,45,98,130,155,1034,0,,2026-03-13
50,Brandon Miller,23,CHO,SF,50,50,1509,357,825,0.433,154,406,0.379,203,419,0.484,0.526,166,186,0.892,55,199,254,171,56,40,144,140,1034,0,,2026-03-13
51,Shaedon Sharpe,22,POR,SG,48,42,1439,386,847,0.456,101,297,0.34,285,550,0.518,0.515,152,194,0.784,48,164,212,126,68,6,144,95,1025,0,,2026-03-13
52,Jalen Duren,22,DET,C,55,55,1517,396,625,0.634,0,0,NA,396,625,0.634,0.634,226,310,0.729,208,372,580,96,49,47,93,156,1018,0,AS,2026-03-13
53,Mikal Bridges,29,NYK,SF,67,67,2250,403,821,0.491,133,352,0.378,270,469,0.576,0.572,67,81,0.827,69,207,276,263,95,56,70,137,1006,0,,2026-03-13
54,Chet Holmgren,23,OKC,PF,57,57,1672,362,657,0.551,73,206,0.354,289,451,0.641,0.607,185,235,0.787,109,406,515,98,30,108,91,130,982,0,AS,2026-03-13
55,Giannis Antetokounmpo,31,MIL,PF,35,35,1016,362,576,0.628,15,45,0.333,347,531,0.653,0.641,223,344,0.648,92,246,338,188,34,24,114,85,962,0,AS,2026-03-13
56,Onyeka Okongwu,25,ATL,C,60,49,1882,356,731,0.487,124,320,0.388,232,411,0.564,0.572,126,165,0.764,112,360,472,192,70,67,109,201,962,0,,2026-03-13
57,LeBron James,41,LAL,SF,45,45,1490,361,715,0.505,63,203,0.31,298,512,0.582,0.549,176,237,0.743,34,221,255,315,50,29,138,60,961,1,AS,2026-03-13
58,Austin Reaves,27,LAL,SG,40,34,1349,301,602,0.5,98,258,0.38,203,344,0.59,0.581,254,291,0.873,26,165,191,220,43,14,120,86,954,0,,2026-03-13
59,Jerami Grant,31,POR,PF,50,31,1489,292,648,0.451,116,301,0.385,176,347,0.507,0.54,248,303,0.818,47,128,175,114,36,31,103,125,948,0,,2026-03-13
60,Russell Westbrook,37,SAC,SF,61,55,1765,348,808,0.431,124,362,0.343,224,446,0.502,0.507,123,173,0.711,77,255,332,398,78,10,201,144,943,5,,2026-03-13
61,Jaden McDaniels,25,MIN,PF,64,64,2043,357,689,0.518,91,215,0.423,266,474,0.561,0.584,135,159,0.849,68,208,276,179,68,63,118,216,940,0,,2026-03-13
62,Naji Marshall,28,DAL,SF,63,36,1853,347,663,0.523,52,177,0.294,295,486,0.607,0.563,191,250,0.764,54,244,298,194,65,6,98,122,937,0,,2026-03-13
63,Jabari Smith Jr.,22,HOU,PF,61,61,2121,339,745,0.455,133,362,0.367,206,383,0.538,0.544,126,162,0.778,91,326,417,111,50,57,80,151,937,0,,2026-03-13
64,Nikola Vučević,35,2TM,C,60,49,1740,382,770,0.496,95,255,0.373,287,515,0.557,0.558,76,91,0.835,120,397,517,203,37,40,80,119,935,0,,2026-03-13
64,Nikola Vučević,35,CHI,C,48,48,1480,333,660,0.505,82,218,0.376,251,442,0.568,0.567,62,74,0.838,100,331,431,181,32,31,69,97,810,0,,2026-03-13
64,Nikola Vučević,35,BOS,C,12,1,260,49,110,0.445,13,37,0.351,36,73,0.493,0.505,14,17,0.824,20,66,86,22,5,9,11,22,125,0,,2026-03-13
65,Stephon Castle,21,SAS,PG,56,55,1671,316,675,0.468,63,202,0.312,253,473,0.535,0.515,236,322,0.733,71,211,282,390,69,18,175,185,931,3,,2026-03-13
66,Jaren Jackson Jr.,26,2TM,C,48,48,1454,342,719,0.476,84,235,0.357,258,484,0.533,0.534,163,203,0.803,42,230,272,94,53,69,107,179,931,0,,2026-03-13
66,Jaren Jackson Jr.,26,MEM,C,45,45,1382,318,670,0.475,79,220,0.359,239,450,0.531,0.534,149,187,0.797,41,218,259,86,47,68,100,170,864,0,,2026-03-13
66,Jaren Jackson Jr.,26,UTA,C,3,3,72,24,49,0.49,5,15,0.333,19,34,0.559,0.541,14,16,0.875,1,12,13,8,6,1,7,9,67,0,,2026-03-13
67,Jaime Jaquez Jr.,24,MIA,SF,62,1,1780,372,747,0.498,37,132,0.28,335,615,0.545,0.523,149,195,0.764,82,244,326,292,47,18,130,118,930,0,,2026-03-13
68,Anthony Black,22,ORL,PG,60,40,1841,332,736,0.451,96,283,0.339,236,453,0.521,0.516,157,215,0.73,44,188,232,229,86,41,125,159,917,0,,2026-03-13
69,Tim Hardaway Jr.,33,DEN,SG,66,5,1792,296,648,0.457,184,449,0.41,112,199,0.563,0.599,133,165,0.806,11,161,172,86,32,9,37,83,909,0,,2026-03-13
70,Andrew Wiggins,30,MIA,SF,57,57,1765,342,721,0.474,113,283,0.399,229,438,0.523,0.553,108,137,0.788,101,190,291,159,64,59,91,126,905,0,,2026-03-13
71,VJ Edgecombe,20,PHI,SG,59,59,2066,333,785,0.424,119,337,0.353,214,448,0.478,0.5,119,146,0.815,97,228,325,227,87,32,110,174,904,0,,2026-03-13
72,Evan Mobley,24,CLE,PF,51,49,1656,351,675,0.52,58,188,0.309,293,487,0.602,0.563,144,231,0.623,116,329,445,187,42,96,98,127,904,0,,2026-03-13
73,Naz Reid,26,MIN,C,65,2,1697,344,733,0.469,146,390,0.374,198,343,0.577,0.569,69,98,0.704,75,336,411,151,63,62,104,163,903,0,,2026-03-13
74,Jeremiah Fears,19,NOP,PG,67,44,1694,332,779,0.426,74,224,0.33,258,555,0.465,0.474,143,179,0.799,46,203,249,218,77,24,151,124,881,0,,2026-03-13
75,OG Anunoby,28,NYK,PF,53,53,1758,311,645,0.482,115,310,0.371,196,335,0.585,0.571,142,176,0.807,73,205,278,115,92,39,102,133,879,0,,2026-03-13
76,Joel Embiid,31,PHI,C,33,33,1029,297,600,0.495,42,132,0.318,255,468,0.545,0.53,242,282,0.858,67,182,249,130,21,35,98,70,878,1,,2026-03-13
77,Andrew Nembhard,26,IND,PG,51,51,1589,304,683,0.445,98,267,0.367,206,416,0.495,0.517,172,211,0.815,22,119,141,370,47,7,126,108,878,0,,2026-03-13
78,Collin Gillespie,26,PHO,PG,65,46,1879,304,702,0.433,200,473,0.423,104,229,0.454,0.575,65,76,0.855,72,203,275,314,84,13,109,107,873,0,,2026-03-13
79,Reed Sheppard,21,HOU,SG,65,10,1679,319,745,0.428,170,438,0.388,149,307,0.485,0.542,62,77,0.805,22,160,182,209,92,43,100,135,870,0,,2026-03-13
80,Toumani Camara,25,POR,PF,66,66,2219,302,709,0.426,166,471,0.352,136,238,0.571,0.543,77,114,0.675,108,249,357,168,70,28,124,195,847,0,,2026-03-13
81,Keldon Johnson,26,SAS,SF,66,0,1538,322,609,0.529,79,209,0.378,243,400,0.608,0.594,120,152,0.789,109,257,366,88,40,9,59,136,843,0,,2026-03-13
82,Bobby Portis,30,MIL,PF,62,9,1490,333,671,0.496,122,265,0.46,211,406,0.52,0.587,43,59,0.729,80,311,391,95,34,12,62,106,831,0,,2026-03-13
83,Donte DiVincenzo,29,MIN,SG,66,66,2044,279,669,0.417,199,511,0.389,80,158,0.506,0.566,70,92,0.761,62,227,289,275,92,25,98,164,827,0,,2026-03-13
84,Brice Sensabaugh,22,UTA,SF,63,12,1408,287,650,0.442,121,350,0.346,166,300,0.553,0.535,131,157,0.834,50,138,188,106,43,8,84,118,826,0,,2026-03-13
85,Brandin Podziemski,22,GSW,SG,65,26,1812,296,661,0.448,114,310,0.368,182,351,0.519,0.534,116,154,0.753,59,277,336,245,73,12,101,115,822,0,,2026-03-13
86,Jaylen Wells,22,MEM,SG,64,64,1708,285,661,0.431,122,343,0.356,163,318,0.513,0.523,127,162,0.784,58,152,210,107,57,9,70,142,819,0,,2026-03-13
87,Jaylon Tyson,23,CLE,SG,61,39,1671,305,614,0.497,126,277,0.455,179,337,0.531,0.599,75,99,0.758,111,203,314,134,49,25,89,156,811,0,,2026-03-13
88,Ayo Dosunmu,26,2TM,SG,57,10,1490,304,591,0.514,99,228,0.434,205,363,0.565,0.598,102,119,0.857,36,123,159,194,45,14,72,104,809,0,,2026-03-13
88,Ayo Dosunmu,26,CHI,SG,45,10,1187,250,486,0.514,87,193,0.451,163,293,0.556,0.604,90,105,0.857,33,103,136,164,34,12,61,78,677,0,,2026-03-13
88,Ayo Dosunmu,26,MIN,SG,12,0,303,54,105,0.514,12,35,0.343,42,70,0.6,0.571,12,14,0.857,3,20,23,30,11,2,11,26,132,0,,2026-03-13
89,Kyle Kuzma,30,MIL,PF,60,35,1595,300,611,0.491,74,204,0.363,226,407,0.555,0.552,123,170,0.724,52,229,281,154,38,22,95,122,797,0,,2026-03-13
90,Collin Sexton,27,2TM,SG,54,15,1239,271,553,0.49,83,212,0.392,188,341,0.551,0.565,165,191,0.864,25,81,106,182,52,8,116,103,790,0,,2026-03-13
90,Collin Sexton,27,CHO,SG,42,12,938,202,414,0.488,57,145,0.393,145,269,0.539,0.557,135,154,0.877,18,62,80,157,36,7,89,75,596,0,,2026-03-13
90,Collin Sexton,27,CHI,SG,12,3,301,69,139,0.496,26,67,0.388,43,72,0.597,0.59,30,37,0.811,7,19,26,25,16,1,27,28,194,0,,2026-03-13
91,Josh Giddey,23,CHI,PG,44,41,1397,274,595,0.461,86,222,0.387,188,373,0.504,0.533,155,204,0.76,55,313,368,388,44,16,162,71,789,10,,2026-03-13
92,Anfernee Simons,26,2TM,SG,55,5,1372,285,648,0.44,146,379,0.385,139,269,0.517,0.552,69,77,0.896,31,104,135,134,27,8,68,94,785,0,,2026-03-13
92,Anfernee Simons,26,BOS,SG,49,0,1202,250,568,0.44,130,329,0.395,120,239,0.502,0.555,64,72,0.889,26,92,118,116,27,6,55,82,694,0,,2026-03-13
92,Anfernee Simons,26,CHI,SG,6,5,170,35,80,0.438,16,50,0.32,19,30,0.633,0.538,5,5,1,5,12,17,18,0,2,13,12,91,0,,2026-03-13
93,Quentin Grimes,25,PHI,SG,60,13,1788,257,578,0.445,107,322,0.332,150,256,0.586,0.537,159,192,0.828,40,177,217,205,54,22,113,121,780,0,,2026-03-13
94,Jarrett Allen,27,CLE,C,51,51,1405,306,481,0.636,1,10,0.1,305,471,0.648,0.637,166,229,0.725,133,299,432,97,50,44,69,92,779,0,,2026-03-13
95,Max Christie,22,DAL,SG,61,52,1800,269,600,0.448,145,358,0.405,124,242,0.512,0.569,94,107,0.879,14,195,209,128,34,19,79,83,777,0,,2026-03-13
96,Derik Queen,21,NOP,C,66,45,1664,294,608,0.484,18,66,0.273,276,542,0.509,0.498,169,215,0.786,110,354,464,258,63,60,155,183,775,2,,2026-03-13
97,RJ Barrett,25,TOR,SF,41,41,1227,279,573,0.487,72,206,0.35,207,367,0.564,0.55,136,195,0.697,38,185,223,135,32,12,68,100,766,0,,2026-03-13
98,Noah Clowney,21,BRK,PF,60,54,1669,235,590,0.398,124,369,0.336,111,221,0.502,0.503,171,212,0.807,52,198,250,103,45,41,95,158,765,0,,2026-03-13
99,Jimmy Butler,36,GSW,SF,38,38,1182,240,462,0.519,32,85,0.376,208,377,0.552,0.554,248,287,0.864,88,123,211,185,55,8,60,46,760,0,,2026-03-13
100,Duncan Robinson,31,DET,SF,63,63,1746,254,576,0.441,181,451,0.401,73,125,0.584,0.598,70,91,0.769,25,140,165,124,38,21,43,138,759,0,,2026-03-13
101,Devin Vassell,25,SAS,SG,53,51,1623,269,616,0.437,134,350,0.383,135,266,0.508,0.545,85,106,0.802,28,176,204,129,45,22,50,86,757,0,,2026-03-13
102,Alex Sarr,20,WAS,C,44,44,1217,306,613,0.499,46,133,0.346,260,480,0.542,0.537,97,140,0.693,101,232,333,117,36,90,73,90,755,0,,2026-03-13
103,Bennedict Mathurin,23,2TM,SF,41,25,1274,233,543,0.429,68,203,0.335,165,340,0.485,0.492,215,247,0.87,41,189,230,94,32,10,91,116,749,0,,2026-03-13
103,Bennedict Mathurin,23,IND,SF,28,24,891,155,358,0.433,58,156,0.372,97,202,0.48,0.514,129,146,0.884,22,129,151,63,17,4,64,76,497,0,,2026-03-13
103,Bennedict Mathurin,23,LAC,SF,13,1,383,78,185,0.422,10,47,0.213,68,138,0.493,0.449,86,101,0.851,19,60,79,31,15,6,27,40,252,0,,2026-03-13
104,Zach LaVine,30,SAC,SG,39,37,1224,262,547,0.479,99,254,0.39,163,293,0.556,0.569,125,142,0.88,8,100,108,89,28,10,74,81,748,0,,2026-03-13
105,Myles Turner,29,MIL,C,61,61,1676,251,571,0.44,130,337,0.386,121,234,0.517,0.553,115,154,0.747,69,262,331,93,42,96,71,154,747,0,,2026-03-13
106,Brandon Williams,26,DAL,PG,57,15,1270,258,545,0.473,33,139,0.237,225,406,0.554,0.504,196,250,0.784,28,143,171,217,53,17,109,88,745,0,,2026-03-13
107,John Collins,28,LAC,PF,54,45,1498,291,520,0.56,74,175,0.423,217,345,0.629,0.631,88,112,0.786,78,202,280,52,45,43,74,145,744,0,,2026-03-13
108,Julian Champagnie,24,SAS,SF,66,52,1830,238,548,0.434,162,418,0.388,76,130,0.585,0.582,100,120,0.833,57,329,386,99,51,28,58,105,738,0,,2026-03-13
109,Peyton Watson,23,DEN,SF,49,39,1502,264,532,0.496,75,180,0.417,189,352,0.537,0.567,128,176,0.727,45,195,240,96,50,58,86,121,731,0,,2026-03-13
110,Grayson Allen,30,PHO,SG,42,26,1261,236,581,0.406,141,397,0.355,95,184,0.516,0.528,115,133,0.865,30,97,127,174,60,12,71,91,728,0,,2026-03-13
111,Ace Bailey,19,UTA,SF,58,47,1570,291,657,0.443,97,282,0.344,194,375,0.517,0.517,46,62,0.742,93,140,233,98,50,29,78,154,725,0,,2026-03-13
112,Jarace Walker,22,IND,PF,65,30,1633,248,607,0.409,106,293,0.362,142,314,0.452,0.496,121,158,0.766,42,285,327,150,55,22,117,112,723,0,,2026-03-13
113,Nic Claxton,26,BRK,C,60,59,1721,295,512,0.576,3,16,0.188,292,496,0.589,0.579,129,212,0.608,147,276,423,236,43,70,83,138,722,2,,2026-03-13
114,Deandre Ayton,27,LAL,C,57,57,1565,328,490,0.669,0,0,NA,328,490,0.669,0.669,65,102,0.637,143,331,474,49,35,51,70,130,721,0,,2026-03-13
115,Wendell Carter Jr.,26,ORL,C,62,62,1833,260,514,0.506,62,190,0.326,198,324,0.611,0.566,138,177,0.78,132,342,474,131,50,42,76,216,720,0,,2026-03-13
116,Donovan Clingan,21,POR,C,61,61,1662,275,526,0.523,64,192,0.333,211,334,0.632,0.584,106,163,0.65,277,425,702,131,32,92,73,141,720,0,,2026-03-13
117,Dyson Daniels,22,ATL,SG,62,62,2068,321,633,0.507,12,91,0.132,309,542,0.57,0.517,60,99,0.606,138,272,410,382,118,26,112,132,714,1,,2026-03-13
118,Kyshawn George,22,WAS,SF,48,48,1391,253,577,0.438,99,260,0.381,154,317,0.486,0.524,105,131,0.802,43,202,245,214,48,43,125,169,710,0,,2026-03-13
119,Moses Moody,23,GSW,SG,59,48,1506,237,537,0.441,147,366,0.402,90,171,0.526,0.578,84,109,0.771,50,147,197,95,55,32,55,118,705,0,,2026-03-13
120,Cam Spencer,25,MEM,SG,62,16,1480,232,485,0.478,127,286,0.444,105,199,0.528,0.609,110,118,0.932,33,132,165,340,43,10,83,89,701,0,,2026-03-13
121,Kel'el Ware,21,MIA,C,62,30,1404,284,536,0.53,70,181,0.387,214,355,0.603,0.595,63,83,0.759,193,390,583,34,54,69,54,100,701,0,,2026-03-13
122,Klay Thompson,35,DAL,SF,58,8,1276,243,617,0.394,172,448,0.384,71,169,0.42,0.533,30,40,0.75,15,117,132,79,30,16,56,60,688,0,,2026-03-13
123,Kyle Filipowski,22,UTA,C,65,29,1485,248,501,0.495,56,166,0.337,192,335,0.573,0.551,133,178,0.747,125,330,455,151,61,33,104,196,685,0,,2026-03-13
124,Cedric Coward,22,MEM,SG,51,36,1330,246,527,0.467,77,224,0.344,169,303,0.558,0.54,113,134,0.843,72,252,324,144,29,22,93,99,682,0,,2026-03-13
125,Rudy Gobert,33,MIN,C,63,63,1978,275,389,0.707,0,4,0,275,385,0.714,0.707,132,261,0.506,240,475,715,112,48,100,83,169,682,0,,2026-03-13
126,Sandro Mamukelashvili,26,TOR,C,63,12,1392,254,493,0.515,85,230,0.37,169,263,0.643,0.601,89,118,0.754,89,216,305,118,47,36,51,123,682,0,,2026-03-13
127,Malik Monk,27,SAC,SG,53,0,1165,240,549,0.437,107,270,0.396,133,279,0.477,0.535,79,90,0.878,14,88,102,141,31,19,75,84,666,0,,2026-03-13
128,Royce O'Neale,32,PHO,SF,66,61,1931,230,550,0.418,183,452,0.405,47,98,0.48,0.585,21,30,0.7,50,274,324,183,75,23,94,151,664,0,,2026-03-13
129,P.J. Washington,27,DAL,PF,48,45,1478,247,562,0.44,59,193,0.306,188,369,0.509,0.492,110,162,0.679,66,266,332,90,45,56,88,103,663,0,,2026-03-13
130,Tre Johnson,19,WAS,SG,52,34,1252,237,552,0.429,104,276,0.377,133,276,0.482,0.524,71,81,0.877,27,122,149,105,31,18,80,99,649,0,,2026-03-13
131,Mark Williams,24,PHO,C,56,52,1322,261,412,0.633,1,1,1,260,411,0.633,0.635,125,163,0.767,174,278,452,56,51,50,59,123,648,0,,2026-03-13
132,Ajay Mitchell,23,OKC,SG,45,10,1188,237,482,0.492,50,144,0.347,187,338,0.553,0.544,121,139,0.871,31,124,155,166,62,14,69,95,645,0,,2026-03-13
133,Dennis Schröder,32,2TM,PG,55,16,1405,217,541,0.401,68,203,0.335,149,338,0.441,0.464,143,172,0.831,24,129,153,274,47,10,106,87,645,0,,2026-03-13
133,Dennis Schröder,32,SAC,PG,40,14,1056,172,422,0.408,57,166,0.343,115,256,0.449,0.475,109,133,0.82,22,100,122,211,32,6,79,66,510,0,,2026-03-13
