Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,snapshot_date
391,Taurean Prince,31,MIL,SF,8,0,169,17,38,0.447,12,28,0.429,5,10,0.5,0.605,3,3,1,0,13,13,8,6,2,5,20,49,0,NA,2026-01-07
392,Caleb Martin,30,DAL,SF,30,0,289,18,52,0.346,2,14,0.143,16,38,0.421,0.365,9,12,0.75,14,29,43,31,13,4,12,41,47,0,NA,2026-01-07
393,Chris Paul,40,LAC,PG,16,0,228,18,56,0.321,10,30,0.333,8,26,0.308,0.411,1,2,0.5,6,22,28,53,11,0,16,23,47,0,NA,2026-01-07
394,Chris Youngblood,23,OKC,SG,26,0,137,14,44,0.318,12,39,0.308,2,5,0.4,0.455,7,7,1,6,16,22,7,3,0,1,19,47,0,NA,2026-01-07
395,Jamal Cain,26,ORL,SF,14,0,110,13,33,0.394,5,16,0.313,8,17,0.471,0.47,15,18,0.833,6,6,12,4,4,1,4,19,46,0,NA,2026-01-07
396,Keshad Johnson,24,MIA,SF,15,0,131,16,45,0.356,5,18,0.278,11,27,0.407,0.411,9,13,0.692,13,21,34,1,5,4,6,12,46,0,NA,2026-01-07
397,Javon Small,23,MEM,PG,13,0,155,14,48,0.292,7,27,0.259,7,21,0.333,0.365,11,13,0.846,3,14,17,39,3,1,13,13,46,0,NA,2026-01-07
398,Chaz Lanier,24,DET,SG,15,0,141,14,43,0.326,12,38,0.316,2,5,0.4,0.465,5,5,1,6,8,14,11,5,0,1,4,45,0,NA,2026-01-07
399,Lindy Waters III,28,SAS,SG,19,0,132,15,39,0.385,12,34,0.353,3,5,0.6,0.538,1,1,1,2,16,18,6,4,0,1,12,43,0,NA,2026-01-07
400,Obi Toppin,27,IND,PF,3,0,82,15,36,0.417,3,17,0.176,12,19,0.632,0.458,9,9,1,3,17,20,5,3,0,6,7,42,0,NA,2026-01-07
401,Ariel Hukporti,23,NYK,C,24,4,236,15,30,0.5,0,1,0,15,29,0.517,0.5,11,16,0.688,29,40,69,17,5,15,14,35,41,0,NA,2026-01-07
402,Jordan McLaughlin,29,SAS,PG,15,0,97,15,30,0.5,7,17,0.412,8,13,0.615,0.617,4,5,0.8,4,6,10,13,8,0,5,7,41,0,NA,2026-01-07
403,Jamir Watkins,24,WAS,SG,14,2,162,14,28,0.5,5,17,0.294,9,11,0.818,0.589,8,8,1,5,29,34,6,4,3,5,26,41,0,NA,2026-01-07
404,Kevon Looney,29,NOP,C,15,6,222,18,45,0.4,1,9,0.111,17,36,0.472,0.411,3,6,0.5,37,41,78,25,5,8,7,29,40,0,NA,2026-01-07
405,Dylan Cardwell,24,SAC,C,10,1,172,14,27,0.519,0,1,0,14,26,0.538,0.519,11,20,0.55,20,33,53,9,9,17,8,35,39,0,NA,2026-01-07
406,Isaiah Livers,27,PHO,PF,18,0,201,12,37,0.324,9,28,0.321,3,9,0.333,0.446,5,6,0.833,11,27,38,13,8,6,8,23,38,0,NA,2026-01-07
407,Leonard Miller,22,MIN,SF,14,0,69,16,28,0.571,1,10,0.1,15,18,0.833,0.589,4,7,0.571,5,14,19,4,3,0,6,11,37,0,NA,2026-01-07
408,Devin Carter,23,SAC,PG,11,0,98,12,37,0.324,5,20,0.25,7,17,0.412,0.392,7,7,1,5,9,14,13,6,2,8,10,36,0,NA,2026-01-07
409,Blake Wesley,22,POR,SG,6,0,98,14,34,0.412,2,10,0.2,12,24,0.5,0.441,6,10,0.6,2,12,14,19,10,1,7,14,36,0,NA,2026-01-07
410,Eric Gordon,37,PHI,SG,6,0,74,12,21,0.571,8,14,0.571,4,7,0.571,0.762,1,2,0.5,1,1,2,3,4,1,3,3,33,0,NA,2026-01-07
411,Taelon Peter,23,IND,SG,21,0,122,10,34,0.294,9,32,0.281,1,2,0.5,0.426,4,6,0.667,6,13,19,14,3,2,9,7,33,0,NA,2026-01-07
412,Amir Coffey,28,MIL,SG,22,0,169,11,26,0.423,3,12,0.25,8,14,0.571,0.481,7,7,1,4,12,16,8,0,1,2,6,32,0,NA,2026-01-07
413,David Jones García,24,SAS,SF,10,0,67,13,25,0.52,3,5,0.6,10,20,0.5,0.58,3,6,0.5,4,8,12,18,6,1,5,6,32,0,NA,2026-01-07
414,Jalen Green,23,PHO,SG,2,2,30,11,23,0.478,6,14,0.429,5,9,0.556,0.609,3,5,0.6,2,2,4,4,2,0,2,2,31,0,NA,2026-01-07
